City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,sao gabriel da cachoeira,-0.1303,-67.0892,302.04,89,75,2.57,BR,1690225499
232,puerto madryn,-42.7692,-65.0385,281.27,57,100,10.73,AR,1690225262
233,kidal,18.4411,1.4078,311.34,23,78,2.69,ML,1690225499
234,kulhudhuffushi,6.6221,73.07,300.97,81,83,5.13,MV,1690225499
235,quellon,-43.1167,-73.6167,282.29,87,100,11.32,CL,1690225499
236,bamboo flat,11.7,92.7167,298.2,94,100,1.54,IN,1690225500
237,kimbe,-5.5502,150.1429,298.92,80,100,4.68,PG,1690225500
238,corn island,12.1694,-83.0418,301.22,81,100,9.05,NI,1690225500
239,zuyevka,58.405,51.1335,286.19,94,2,2.12,RU,1690225500
240,belmonte,-15.8631,-38.8828,297.26,70,0,5.01,BR,1690225501
241,choibalsan,48.0667,114.5,287.93,85,100,1.84,MN,1690225501
242,olyokminsk,60.3736,120.4264,292.11,77,5,1.18,RU,1690225502
243,ust-nera,64.5667,143.2,289.04,63,92,3.15,RU,1690225060
244,arno,60.1167,18.6333,288.68,75,47,4.66,SE,1690225502
245,howrah,22.5892,88.3103,301.15,89,20,2.06,IN,1690225080
246,qamdo,31.1667,97.2333,279.08,92,100,1.75,CN,1690225052
247,suva,-18.1416,178.4415,293.86,94,75,2.06,FJ,1690225066
248,baiyin,36.5583,104.2081,297.07,45,34,1.25,CN,1690225503
249,stepnoye,51.4,46.8667,294.32,65,100,2.36,RU,1690225510
250,bodo,67.28,14.405,289.14,85,75,2.06,NO,1690225511
251,enewetak,11.3474,162.3373,301.63,76,58,6.86,MH,1690225511
252,punta del este,-34.9667,-54.95,283.21,89,100,0.45,UY,1690225511
253,boca chica,18.4537,-69.6111,307.21,49,40,3.09,DO,1690225512
254,labrador city,52.9463,-66.9114,298.1,36,40,4.63,CA,1690225512
255,inirida,3.8653,-67.9239,301.91,77,75,0.37,CO,1690225058
256,nyurba,63.2842,118.3319,291.84,84,83,3.44,RU,1690225513
257,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,94,0,2.0,RU,1690224979
258,adrar,20.5022,-10.0711,312.98,16,34,4.2,MR,1690225348
259,aasiaat,68.7098,-52.8699,276.96,95,99,2.65,GL,1690225012
260,pearsall,28.8922,-99.095,312.8,27,2,4.52,US,1690225486
261,makokou,0.5738,12.8642,296.24,82,100,0.6,GA,1690225344
262,oamaru,-45.0784,170.9801,279.85,83,100,1.39,NZ,1690225514
263,verkhnevilyuysk,63.4453,120.3167,290.0,94,75,2.72,RU,1690225514
264,muslyumovo,55.3033,53.1947,288.0,90,1,1.13,RU,1690225515
265,council bluffs,41.2619,-95.8608,305.66,59,0,5.66,US,1690225294
266,bandon,51.7469,-8.7425,289.92,75,100,5.15,IE,1690225515
267,khovd,48.0056,91.6419,290.2,46,7,0.03,MN,1690225516
268,cidreira,-30.1811,-50.2056,290.39,95,100,4.43,BR,1690225127
269,revda,56.801,59.9303,285.99,95,33,1.86,RU,1690225516
270,dryden,49.7833,-92.7503,296.31,46,40,3.6,CA,1690225046
271,dembi dolo,8.5333,34.8,287.85,94,100,1.38,ET,1690225517
272,ciudad rodrigo,40.6,-6.5333,295.8,34,0,4.94,ES,1690225517
273,leua,48.2156,18.6071,301.76,54,100,5.42,SK,1690225517
274,borogontsy,62.6683,131.1683,291.65,79,18,2.17,RU,1690225518
275,polovinnoye,54.7914,65.9864,291.04,54,88,2.77,RU,1690225518
276,magadan,59.5667,150.8,286.85,65,4,1.98,RU,1690225518
277,xilin hot,43.9667,116.0333,290.52,56,5,2.1,CN,1690225519
278,grand gaube,-20.0064,57.6608,296.37,80,14,4.91,MU,1690225519
279,tual,-5.6667,132.75,298.39,76,70,11.32,ID,1690225519
280,fort bragg,35.139,-79.006,304.93,64,0,2.06,US,1690225520
281,nova vicosa,-17.8919,-39.3719,296.44,77,13,4.41,BR,1690225513
282,buzuluk,52.7807,52.2635,290.18,80,12,1.24,RU,1690225228
283,el porvenir,13.7617,-87.3458,301.78,36,52,3.34,HN,1690225520
284,quelimane,-17.8786,36.8883,295.12,83,0,2.68,MZ,1690225520
285,champerico,14.3,-91.9167,307.45,57,82,3.16,GT,1690225245
286,sitka,57.0531,-135.33,289.09,77,20,1.54,US,1690225142
287,penzance,50.1186,-5.5371,289.69,73,100,7.5,GB,1690225404
288,ancud,-41.8697,-73.8203,283.65,86,100,17.49,CL,1690225237
289,chifeng,42.2683,118.9636,293.56,75,88,1.56,CN,1690225228
290,la maddalena,41.2142,9.4083,308.18,75,91,6.56,IT,1690225522
291,vikulovo,56.8167,70.6107,287.8,95,87,2.86,RU,1690225522
292,zhangye,38.9342,100.4517,299.4,27,52,3.51,CN,1690225522
293,vrangel',42.7297,133.0839,292.64,99,99,0.29,RU,1690225522
294,pijijiapan,15.7011,-93.23,305.95,60,100,3.48,MX,1690225522
295,kiliya,45.4552,29.2637,295.73,69,0,5.54,UA,1690225523
296,darwin,-12.4611,130.8418,290.14,29,8,3.6,AU,1690225523
297,marshall,34.3834,-86.3333,305.0,55,0,1.34,US,1690225523
298,indiana,40.0003,-86.2503,304.13,63,40,2.06,US,1690225523
299,saint-paul,-21.0096,55.2707,294.21,90,5,0.45,RE,1690225523
300,nabire,-3.3667,135.4833,297.4,90,100,2.22,ID,1690225524
301,pervomayskoye,43.919,46.7102,295.31,87,100,2.64,RU,1690225524
302,yei,4.095,30.6779,294.06,87,100,1.09,SS,1690225524
303,bela,25.9333,81.9833,306.66,53,97,3.03,IN,1690225524
304,kalmunai,7.4167,81.8167,300.77,78,100,1.46,LK,1690225524
305,phongsali,21.6833,102.1058,291.14,85,100,0.38,LA,1690225525
306,cascais,38.6979,-9.4215,295.79,59,20,9.39,PT,1690225525
307,dauphin,51.1494,-100.0502,297.23,57,0,2.06,CA,1690225525
308,khorixas,-20.3667,14.9667,294.45,27,6,1.69,NA,1690225525
309,jieshi,22.8134,115.8257,301.12,81,59,2.77,CN,1690225163
310,cles,46.3667,11.0333,291.33,99,74,0.72,IT,1690225526
311,igarka,67.4667,86.5833,288.25,72,46,2.16,RU,1690224991
312,puerto aysen,-45.4,-72.7,276.17,81,100,0.0,CL,1690225384
313,vila franca do campo,37.7167,-25.4333,298.38,72,39,2.1,PT,1690225526
314,lubuklinggau,-3.3,102.8667,294.4,90,18,1.15,ID,1690225526
315,lincoln city,44.9582,-124.0179,293.17,90,100,3.13,US,1690225286
316,zhosaly,45.4878,64.0781,306.99,22,5,4.76,KZ,1690225527
317,magistral'nyy,56.1725,107.4458,288.66,88,97,1.22,RU,1690225527
318,ghanzi,-21.5667,21.7833,291.22,28,9,2.96,BW,1690225528
319,armacao de buzios,-22.7469,-41.8817,302.18,77,0,8.53,BR,1690225528
320,mejit,10.2753,170.8646,301.46,77,93,7.97,MH,1690225528
321,west bay,19.3667,-81.4167,306.19,62,40,5.66,KY,1690225528
322,dolores,-36.3132,-57.6792,283.31,53,87,4.6,AR,1690225528
323,port hedland,-20.3167,118.5667,285.18,43,0,3.09,AU,1690225529
324,usinsk,65.9939,57.5281,288.03,78,8,3.49,RU,1690225529
325,flying fish cove,-10.4217,105.6791,296.97,94,100,3.09,CX,1690225529
326,kutum,14.2,24.6667,301.84,36,100,2.12,SD,1690225529
327,luis correia,-2.8792,-41.6669,304.15,62,75,4.76,BR,1690225447
328,wanxian,30.8039,108.3897,297.46,92,100,1.36,CN,1690225530
329,as sulayyil,20.4607,45.5779,311.29,8,100,3.6,SA,1690225530
330,port macquarie,-31.4333,152.9167,281.98,92,17,4.04,AU,1690225530
331,sinazongwe,-17.2614,27.4618,293.46,44,0,1.75,ZM,1690225530
332,taco pozo,-25.6167,-63.2833,289.57,43,100,3.75,AR,1690225530
333,loralai,30.3705,68.598,297.95,69,100,1.35,PK,1690225531
334,noshiro,40.2039,140.0242,295.35,91,0,2.35,JP,1690225531
335,porto novo,6.4965,2.6036,298.05,91,99,1.99,BJ,1690225328
336,saint-francois,46.4154,3.9054,296.84,50,0,3.6,FR,1690225190
337,khandyga,62.6667,135.6,289.03,86,49,2.21,RU,1690225531
338,melekeok village,7.4957,134.6367,299.46,94,75,2.57,PW,1690225532
339,nuuk,64.1835,-51.7216,285.49,71,20,5.66,GL,1690225532
340,zitlala,17.6333,-99.0833,295.4,62,93,0.28,MX,1690225532
341,malango,-2.9627,119.9001,291.64,98,50,0.33,ID,1690225532
342,sagua la grande,22.8067,-80.0756,307.7,53,0,6.23,CU,1690225532
343,bouznika,33.7894,-7.1597,298.01,73,75,4.12,MA,1690225533
344,shiqian,27.5225,108.2281,296.97,94,100,1.43,CN,1690225533
345,rengo,-34.4167,-70.8667,290.33,69,28,0.78,CL,1690225533
346,santa luzia,-19.7697,-43.8514,297.34,52,75,5.14,BR,1690225533
347,deogarh,21.5333,84.7333,298.9,87,87,0.89,IN,1690225534
348,twon-brass,4.3151,6.2418,297.87,89,100,4.27,NG,1690225534
349,port-cartier,50.0334,-66.8654,297.45,46,16,6.54,CA,1690225534
350,lubango,-14.9172,13.4925,292.07,34,21,1.03,AO,1690225535
351,rio grande,-32.035,-52.0986,287.21,93,100,7.81,BR,1690225319
